season,element,origin,league
2024-25,570,championship,Championship
2024-25,572,foreign,Ligue 1
2024-25,577,foreign,Serie A
2024-25,578,foreign,Serie A
2024-25,588,foreign,La Liga
2024-25,591,foreign,Ligue 1
2024-25,593,foreign,Bundesliga
2024-25,594,foreign,Bundesliga
2024-25,596,foreign,Portugal
2024-25,597,academy,academy
2024-25,607,academy,academy
2024-25,608,academy,academy
2024-25,619,foreign,Serie A
2024-25,623,foreign,Portugal
2024-25,627,academy,academy
2024-25,628,foreign,Turkey
2024-25,629,foreign,Scotland
2024-25,635,foreign,Belgium
2024-25,642,foreign,Brazil
2024-25,650,foreign,Bundesliga
2024-25,652,foreign,Ligue 1
2024-25,654,foreign,Ligue 1
2024-25,677,academy,academy
2024-25,720,foreign,Ligue 1
2024-25,732,foreign,Ligue 1
2024-25,757,foreign,Serie A
2025-26,684,foreign,Serie A
2025-26,661,foreign,Bundesliga
2025-26,666,foreign,Portugal
2025-26,725,foreign,Bundesliga
2025-26,382,foreign,Bundesliga
2025-26,531,championship,Championship
2025-26,683,foreign,La Liga
2025-26,26,foreign,La Liga
2025-26,74,foreign,Ligue 1
2025-26,427,foreign,Serie A
2025-26,694,foreign,Bundesliga
2025-26,100,foreign,Ligue 2
2025-26,344,foreign,Serie A
2025-26,714,foreign,Bundesliga
2025-26,723,foreign,Ligue 1
2025-26,143,foreign,Eredivisie
2025-26,145,foreign,Belgium
2025-26,192,foreign,Eredivisie
2025-26,193,championship,Championship
2025-26,195,championship,Championship
2025-26,206,championship,Championship
2025-26,209,championship,Championship
2025-26,210,foreign,Serie A
2025-26,215,championship,Championship
2025-26,310,foreign,La Liga
2025-26,347,foreign,Ligue 1
2025-26,356,championship,Championship
2025-26,358,championship,Championship
2025-26,362,championship,Championship
2025-26,370,foreign,Bundesliga
2025-26,510,foreign,Brazil
2025-26,526,foreign,Brazil
2025-26,532,championship,Championship
2025-26,535,championship,Championship
2025-26,539,championship,Championship
2025-26,541,foreign,La Liga
2025-26,544,foreign,Ligue 1
2025-26,547,championship,Championship
2025-26,551,championship,Championship
2025-26,552,foreign,Belgium
2025-26,553,foreign,Belgium
2025-26,560,championship,Championship
2025-26,561,championship,Championship
2025-26,603,foreign,Czech
2025-26,623,championship,Championship
2025-26,660,foreign,Bundesliga
2025-26,663,foreign,Brazil
2025-26,669,foreign,Serie A
2025-26,672,foreign,Eredivisie
2025-26,681,foreign,Bundesliga
2025-26,682,foreign,Eredivisie
2025-26,685,foreign,Ligue 1
2025-26,695,foreign,Serie A
2025-26,697,foreign,Bundesliga
2025-26,698,foreign,Serie A
2025-26,417,foreign,Ligue 1
